root_slp1	source	registers
Kel	dcs:2	gitagovinda:2
Kid	dcs:23,vidyut:3	rigveda:4,atharvaveda:4,gitagovinda:4
Kud	dcs:1	rigveda:1
KyA	dcs:857,vidyut:151,marker:1	mahabharata-adiparva:126,mahabharata-aranyakaparva:124,mahabharata-dronaparva:108
KyApay	dcs:20	manavadharmashastra:7,kama-sutra:5,mahabharata-udyogaparva:2
PARay	dcs:2	rigveda:2
PAlay	dcs:3	mahabharata-adiparva:1,mahabharata-sabhaparva:1,mahabharata-ashvamedhikaparva:1
Pal	dcs:21,vidyut:6	shatakatrayam:4,shatakatrayam-serebryakov:3,buddhacharita:3
PenAy	dcs:1	mahabharata-bhishmaparva:1
SA	dcs:612,marker:1,vidyut:1	mahabharata-dronaparva:113,rigveda:76,mahabharata-bhishmaparva:75
SASvas	dcs:1	rigveda:1
SAmay	dcs:170	ramayana-ayodhyakanda:20,buddhacharita:18,ramayana-sundarakanda:17
SApay	dcs:1	ramayana-ayodhyakanda:1
SAs	dcs:380,vidyut:11,marker:2	rigveda:57,mahabharata-aranyakaparva:47,ramayana-ayodhyakanda:37
SAtay	dcs:35	mahabharata-dronaparva:13,mahabharata-karnaparva:3,atharvaveda:3
SAyay	dcs:1	shukasaptati:1
SI	dcs:406,vidyut:14	rigveda:44,ramayana-ayodhyakanda:39,mahabharata-striparva:34
SIlay	dcs:6	kama-sutra:3,gitagovinda:2,mahabharata-adiparva:1
SaMs	dcs:561,vidyut:16	rigveda:140,mahabharata-aranyakaparva:39,mahabharata-adiparva:38
SaMsay	dcs:7	rigveda:7
SaNk	dcs:81,vidyut:17	mahabharata-aranyakaparva:23,ramayana-aranyakanda:10,mahabharata-adiparva:8
SabdAy	dcs:1	megha-duta:1
Sabday	dcs:5	mahabharata-adiparva:2,mahabharata-ashvamedhikaparva:1,bhagavadgita-radha:1
Sad	dcs:11	rigveda:7,atharvaveda:4
Sak	dcs:526,vidyut:72,marker:2	mahabharata-aranyakaparva:60,mahabharata-adiparva:59,mahabharata-dronaparva:51
Sam	dcs:510,vidyut:3	rigveda:105,atharvaveda:83,mahabharata-udyogaparva:39
SamAy	dcs:3	tai-up:2,rigveda:1
Samay	dcs:47	mahabharata-aranyakaparva:10,mahabharata-adiparva:8,mahabharata-udyogaparva:7
Sap	dcs:182,vidyut:9	mahabharata-adiparva:46,ramayana-ayodhyakanda:20,mahabharata-aranyakaparva:19
SapaTIy	dcs:2	atharvaveda:2
SarDay	dcs:1	rigveda:1
SarDi	vidyut:18	rigveda:15,atharvaveda:2,manavadharmashastra:1
Sas	vidyut:12,dcs:2	rigveda:6,mahabharata-shalyaparva:3,mahabharata-karnaparva:2
SatrUy	dcs:2	atharvaveda:2
Scam	dcs:1	rigveda:1
Scut	dcs:3,vidyut:2	rigveda:5
Sezay	dcs:20	mahabharata-dronaparva:5,mahabharata-udyogaparva:3,mahabharata-aranyakaparva:2
Sf	dcs:122,marker:1	atharvaveda:21,rigveda:14,mahabharata-dronaparva:11
SfD	dcs:15,vidyut:2	rigveda:17
SiTilAy	dcs:2	shatakatrayam:1,shatakatrayam-serebryakov:1
SiYj	dcs:5	rigveda:3,atharvaveda:2
Sikz	dcs:71	rigveda:50,atharvaveda:8,mahabharata-aranyakaparva:4
Sikzay	dcs:23	mahabharata-virataparva:4,mahabharata-dronaparva:3,amaru-shataka:3
Siz	dcs:275,vidyut:12	mahabharata-udyogaparva:23,mahabharata-aranyakaparva:20,manavadharmashastra:17
SlAG	dcs:38,vidyut:1	mahabharata-udyogaparva:8,mahabharata-dronaparva:6,ramayana-aranyakanda:4
SlaTAy	dcs:1	mahabharata-adiparva:1
Slezay	dcs:3	kama-sutra:2,mahabharata-sabhaparva:1
Sliz	dcs:48,vidyut:2	mahabharata-adiparva:9,mahabharata-aranyakaparva:6,amaru-shataka:4
SloR	vidyut:2	atharvaveda:2
SnaT	dcs:18	rigveda:18
SnaTay	dcs:3	rigveda:3
SoBay	dcs:133	ramayana-aranyakanda:25,ramayana-ayodhyakanda:23,mahabharata-aranyakaparva:17
SoBi	vidyut:4	mahabharata-udyogaparva:1,ramayana-balakanda:1,mahabharata-karnaparva:1
SoDay	dcs:23	manavadharmashastra:5,mahabharata-adiparva:3,ramayana-balakanda:2
SoSuB	dcs:1	mahabharata-ashvamedhikaparva:1
SoSuc	dcs:44,vidyut:1	rigveda:26,atharvaveda:19
Socay	dcs:11	rigveda:7,atharvaveda:2,mahabharata-dronaparva:1
Soci	vidyut:8	rigveda:4,atharvaveda:1,mahabharata-aranyakaparva:1
Sozay	dcs:34	mahabharata-dronaparva:5,bhagavadgita-prabhupada:2,ramayana-aranyakanda:2
Sozi	vidyut:1	mahabharata-karnaparva:1
SrA	vidyut:5	rigveda:2,ch-up:1,atharvaveda:1
SrAmay	dcs:2	mahabharata-udyogaparva:1,raghuvamsha:1
SrApi	vidyut:2	ramayana-ayodhyakanda:1,atharvaveda:1
SrAvay	dcs:105	mahabharata-adiparva:25,mahabharata-udyogaparva:11,mahabharata-dronaparva:8
SrAvi	vidyut:1	mahabharata-aranyakaparva:1
SrI	dcs:554,vidyut:9	rigveda:132,mahabharata-udyogaparva:53,mahabharata-aranyakaparva:46
SraT	dcs:18,marker:2	rigveda:20
SraTAy	dcs:2	atharvaveda:2
SraTary	dcs:1	rigveda:1
SraTay	dcs:9	rigveda:6,atharvaveda:3
SraTi	vidyut:1	atharvaveda:1
Sram	dcs:196,vidyut:5	mahabharata-aranyakaparva:34,mahabharata-adiparva:20,mahabharata-dronaparva:19
SramB	dcs:30	ramayana-ayodhyakanda:4,mahabharata-aranyakaparva:4,ramayana-aranyakanda:4
Sramay	dcs:1	gitagovinda:1
Srapay	dcs:2	ramayana-balakanda:1,mahabharata-udyogaparva:1
Sravasy	dcs:9	rigveda:9
Sravay	dcs:1	rigveda:1
Sri	dcs:784,vidyut:38,marker:6	rigveda:97,mahabharata-aranyakaparva:64,atharvaveda:58
Sriz	dcs:1	rigveda:1
Sru	dcs:3491,vidyut:35	mahabharata-aranyakaparva:381,mahabharata-adiparva:345,rigveda:322
Sruz	dcs:1	rigveda:1
SuB	dcs:233,vidyut:1	rigveda:49,mahabharata-dronaparva:23,mahabharata-aranyakaparva:21
SuBAy	dcs:1	rigveda:1
SuBay	dcs:1	rigveda:1
SuD	dcs:206	manavadharmashastra:54,atharvaveda:18,mahabharata-aranyakaparva:14
SuSrUz	dcs:42	ramayana-ayodhyakanda:9,mahabharata-udyogaparva:6,mahabharata-aranyakaparva:5
SuSuB	dcs:6	mahabharata-karnaparva:3,mahabharata-bhishmaparva:2,mahabharata-shalyaparva:1
Suc	dcs:418,vidyut:18,marker:1	rigveda:52,mahabharata-aranyakaparva:38,ramayana-ayodhyakanda:32
Suj	dcs:2	rigveda:2
SunD	vidyut:9	mnar-up:8,rigveda:1
SunDay	dcs:1	rigveda:1
Suz	dcs:63,vidyut:3	ramayana-aranyakanda:10,atharvaveda:9,rigveda:7
SvAsay	dcs:144	mahabharata-aranyakaparva:25,ramayana-ayodhyakanda:16,mahabharata-dronaparva:12
SvaYcay	dcs:1	rigveda:1
Svas	dcs:340,vidyut:18	mahabharata-dronaparva:52,ramayana-ayodhyakanda:31,mahabharata-udyogaparva:27
Svi	dcs:22,vidyut:3	rigveda:21,br-up:3,mahabharata-shantiparva:1
Svit	vidyut:1,dcs:1	mahabharata-adiparva:1,rigveda:1
SyA	dcs:1	atharvaveda:1
UNKay	dcs:2	rigveda:2
Uh	dcs:27,marker:3	rigveda:26,atharvaveda:2,br-up:1
Unay	dcs:1	rigveda:1
Urjay	dcs:29	mahabharata-udyogaparva:3,rigveda:2,bhagavadgita-1914:2
Uz	vidyut:2	ch-up:2
aBInD	dcs:2	rigveda:1,atharvaveda:1
aBiBAvi	vidyut:4	gitarthasamgraha-abhinavagupta:2,yoga-sutry_vyasa-bhashya:1,raghuvamsha:1
aBiDyE	dcs:14,vidyut:8	mai-up:8,mahabharata-udyogaparva:4,pr-up:3
aBigE	vidyut:2	ch-up:2
aBigF	vidyut:3	rigveda:3
aBihAri	vidyut:2	kama-sutra:1,mahabharata-shalyaparva:1
aBikF	vidyut:1	ramayana-ayodhyakanda:1
aBikalpi	vidyut:2	mahabharata-dronaparva:1,ramayana-ayodhyakanda:1
aBilakzi	vidyut:2	gitarthasamgraha-abhinavagupta:2
aBimanT	dcs:6	shv-up:2,ch-up:2,br-up:2
aBinAdi	vidyut:1	ramayana-ayodhyakanda:1
aBiniDyE	dcs:1	ramayana-balakanda:1
aBinii	vidyut:1	rigveda:1
aBinirvarti	vidyut:2	yoga-sutry_vyasa-bhashya:1,kama-sutra:1
aBinizic	dcs:1	buddhacharita:1
aBipAti	vidyut:1	mahabharata-aranyakaparva:1
aBiparI	dcs:6	mahabharata-dronaparva:4,mahabharata-aranyakaparva:2
aBiprArTay	dcs:1	ramayana-ayodhyakanda:1
aBipraC	dcs:1	buddhacharita:1
aBipragE	dcs:4	rigveda:4
aBiprasTApi	vidyut:1	ch-up:1
aBipre	dcs:25	ramayana-ayodhyakanda:4,kama-sutra:3,atharvaveda:2
aBiprekz	dcs:56	mahabharata-udyogaparva:13,mahabharata-bhishmaparva:10,mahabharata-adiparva:7
aBiprez	dcs:1	atharvaveda:1
aBisaMpU	vidyut:1	atharvaveda:1
aBisaMpad	vidyut:4	br-up:2,ramayana-sundarakanda:1,pr-up:1
aBisaMplu	vidyut:3	nyaya-bhashya:1,buddhacharita:1,mahabharata-shalyaparva:1
aBisame	dcs:3	br-up:2,ch-up:1
aBisamprekz	dcs:5	mahabharata-aranyakaparva:2,mahabharata-adiparva:1,mahabharata-dronaparva:1
aBivAdi	vidyut:16	mahabharata-aranyakaparva:4,mahabharata-udyogaparva:4,mahabharata-bhishmaparva:2
aBizWA	dcs:4,vidyut:4	rigveda:4,atharvaveda:3,ramayana-aranyakanda:1
aBizecay	dcs:22	ramayana-ayodhyakanda:9,mahabharata-adiparva:5,mahabharata-aranyakaparva:2
aBizeci	vidyut:7	mahabharata-aranyakaparva:2,mahabharata-udyogaparva:2,ramayana-aranyakanda:1
